tract_geoid,community_plan_area,council_district,permits_per_1000_units,pressure_score_equal_weight,quadrant
06037265304,Westwood,5,61.95,96.4,High pressure / Low development (priority gap)
06037265307,Westwood,5,4.84,89.5,High pressure / Low development (priority gap)
06037265303,Westwood,5,31.68,88.5,High pressure / Low development (priority gap)
06037224702,South Los Angeles,9,43.0,85.9,High pressure / Low development (priority gap)
06037209202,Westlake,1,3.27,82.9,High pressure / Low development (priority gap)
06037205120,Boyle Heights,14,41.71,81.7,High pressure / Low development (priority gap)
06037209103,Westlake,1,44.68,81.3,High pressure / Low development (priority gap)
06037265306,Westwood,5,31.25,81.2,High pressure / Low development (priority gap)
06037236203,West Adams - Baldwin Hills - Leimert,10,114.82,80.8,High pressure / Low development (priority gap)
06037224701,South Los Angeles,9,37.74,80.7,High pressure / Low development (priority gap)
06037209300,Westlake,1,14.48,80.4,High pressure / Low development (priority gap)
06037238320,South Los Angeles,8,145.15,79.9,High pressure / Low development (priority gap)
06037242600,Southeast Los Angeles,15,15.0,79.7,High pressure / Low development (priority gap)
06037236205,West Adams - Baldwin Hills - Leimert,10,24.6,79.6,High pressure / Low development (priority gap)
06037221810,South Los Angeles,8,103.21,78.9,High pressure / Low development (priority gap)
06037222700,South Los Angeles,9,14.08,78.9,High pressure / Low development (priority gap)
06037234902,West Adams - Baldwin Hills - Leimert,8,124.65,78.5,High pressure / Low development (priority gap)
06037209105,Westlake,1,22.39,78.1,High pressure / Low development (priority gap)
06037192610,Wilshire,13,89.84,77.8,High pressure / Low development (priority gap)
06037101222,Sunland-E LaTuna Cyn-Lakevw Ter-Shadow Hls-Tujunga,7,27.03,77.6,High pressure / Low development (priority gap)
06037212303,Wilshire,10,13.89,77.3,High pressure / Low development (priority gap)
06037209520,Westlake,1,57.69,77.2,High pressure / Low development (priority gap)
06037119340,Mission Hills - Panorama City - North Hills,6,15.93,77.1,High pressure / Low development (priority gap)
06037128303,Van Nuys - North Sherman Oaks,6,94.32,77.1,High pressure / Low development (priority gap)
06037117520,Mission Hills - Panorama City - North Hills,6,79.31,76.9,High pressure / Low development (priority gap)
06037111304,Granada Hills - Knollwood,12,8.44,76.9,High pressure / Low development (priority gap)
06037226001,Southeast Los Angeles,9,110.02,76.7,High pressure / Low development (priority gap)
06037224020,Southeast Los Angeles,9,57.73,76.6,High pressure / Low development (priority gap)
06037190510,Hollywood,13,30.76,76.6,High pressure / Low development (priority gap)
06037294820,Wilmington - Harbor City,15,66.07,76.5,High pressure / Low development (priority gap)
06037224320,Westlake,1,46.63,76.4,High pressure / Low development (priority gap)
06037211921,Wilshire,10,15.7,76.3,High pressure / Low development (priority gap)
06037208802,Westlake,1,30.22,76.2,High pressure / Low development (priority gap)
06037207303,Central City,14,2.36,76.2,High pressure / Low development (priority gap)
06037203601,Boyle Heights,14,69.09,76.0,High pressure / Low development (priority gap)
